"","Flag[3]","Region","French name","Other local name(s)","Capital","INSEE No.[1]","Derivation or status","President"
"1","","Alsace","Alsace","Alsatian: ElsàssGerman: Elsass","Strasbourg","42","Formerly a coalition of free cities in Holy Roman Empire, attached to Kingdom of France in 1648.
Annexed by Germany from Franco-Prussian war to the end of World War I and briefly during World War II","P. Richert (UMP)"
"2","","Aquitaine","Aquitaine","Occitan: AquitàniaBasque: Akitania","Bordeaux","72","Former Roman province of Aquitaine
plus Guyenne and Gascony","A. Rousset (PS)"
"3","","Auvergne","Auvergne","Occitan: Auvèrnhe / Auvèrnha","Clermont-Ferrand","83","Former province of Auvergne","R. Souchon (PS)"
"4","","Brittany","Bretagne","Breton: BreizhGallo: Bertaèyn","Rennes","53","Duchy of Brittany","J-Y. Le Drian (PS)"
"5","","Burgundy","Bourgogne","Burgundian: Bregogne / BorgoégneArpitan: Borgogne","Dijon","26","Duchy of Burgundy","F. Patriat (PS)"
"6","","Centre","Centre","","Orléans","24","Located in central France","F. Bonneau (PS)"
"7","","Champagne-Ardenne","Champagne-Ardenne","","Châlons-en-
Champagne","21","Former province of Champagne","J-P. Bachy (PS)"
"8","","Franche-Comté","Franche-Comté","Franc-Comtois: Fràntche-ComtéArpitan: Franche-Comtât","Besançon","43","Free County of Burgundy
(Franche-Comté)","M-M. Dufay (PS)"
"9","","Île-de-France","Île-de-France","","Paris","11","Province of Ile-de-France and parts
of the former province of Champagne","J-P. Huchon (PS)"
"10","","Languedoc-Roussillon","Languedoc-Roussillon","Occitan: Lengadòc-RosselhonCatalan: Llenguadoc-Rosselló","Montpellier","91","Former provinces of Languedoc
and Roussillon","C. Bourquin (DVG)"
"11","","Limousin","Limousin","Occitan: Lemosin","Limoges","74","Former province of Limousin and parts
of Marche, Berry, Auvergne, Poitou
and Angoumois","J-P. Denanot (PS)"
"12","","Lorraine","Lorraine","German: LothringenLorraine Franconian: Lottringe","Metz","41","Named for Charlemagne's son Lothair I, the kingdom of Lotharingia is etymologically
the source for the name Lorraine (duchy), Lothringen (German), Lottringe (Lorraine Franconian)","J-P. Masseret (PS)"
"13","","Lower Normandy","Basse-Normandie","Norman: Basse-Normaundie","Caen","25","Western half of former province of Normandy","L. Beauvais (PS)"
"14","","Midi-Pyrénées","Midi-Pyrénées","Occitan: Miègjorn-PirenèusOccitan: Mieidia-Pirenèus","Toulouse","73","None; created for Toulouse","M. Malvy (PS)"
"15","","Nord-Pas-de-Calais","Nord-Pas-de-Calais","Dutch: Noord-Nauw van Kales","Lille","31","Nord and Pas-de-Calais departments","D. Percheron (PS)"
"16","","Pays de la Loire","Pays de la Loire","Breton: Broioù al Liger","Nantes","52","None; created for Nantes","J. Auxiette (PS)"
"17","","Picardy","Picardie","","Amiens","22","Former province of Picardy","C. Gewerc (PS)"
"18","","Poitou-Charentes","Poitou-Charentes","","Poitiers","54","Former province of Poitou","S. Royal (PS)"
"19","","Provence-Alpes-Côte d'Azur","Provence-Alpes-Côte d'Azur","Occitan:   Provença-Aups-Còsta d'Azur   Prouvènço-Aup-Costo d'AzurItalian:   Provenza-Alpi-Costa Azzurra","Marseille","93","Provence plus the former county of
Nice, principality of Orange andAvignon","M. Vauzelle (PS)"
"20","","Rhône-Alpes","Rhône-Alpes","Arpitan: Rôno-ArpesOccitan: Ròse Aups","Lyon","82","Created for Lyon from Dauphiné andLyonais provinces
and Savoy","J-J. Queyranne (PS)"
"21","","Upper Normandy","Haute-Normandie","Norman: Ĥâote-Normaundie","Rouen","23","Eastern half of former province of Normandy","A. Le Vern (PS)"
"22","The following region has the special status of territorial collectivity.",NA,NA,NA,NA,NA,NA,NA
"23","","Corsica","Corse","Corsican: CorsicaItalian: Corsica","Ajaccio","94","Territorial collectivity","P. Giacobbi (PRG)"
"24","The following five regions have the special status of overseas region.",NA,NA,NA,NA,NA,NA,NA
"25","","French Guiana","Guyane","","Cayenne","03","Overseas region","R. Alexandre (PSG)"
"26","","Guadeloupe","Guadeloupe","Antillean Creole: Gwadloup","Basse-Terre","01","Overseas region","V. Lurel (PS)"
"27","","Martinique","Martinique","Antillean Creole: Matinik","Fort-de-France","02","Overseas region","S. Letchimy (PPM)"
"28","","Mayotte","Mayotte","Shimaore: MaoreMalagasy: Mahori","Mamoudzou","05","Overseas region","D. Zaïdani (DVG)"
"29","","Reunion","La Réunion","Reunion Creole: La Rényon","Saint-Denis","04","Overseas region","D. Robert (UMP)"
